EVENT: 1722590748  RUN: 191226 LS: 1411
EVENT: 7378389  RUN: 190949 LS: 11
EVENT: 62693258  RUN: 190782 LS: 85
EVENT: 128250085  RUN: 190895 LS: 136
EVENT: 315487638  RUN: 194115 LS: 336
EVENT: 449045409  RUN: 194210 LS: 482
EVENT: 98231719  RUN: 194439 LS: 86
EVENT: 95754469  RUN: 194424 LS: 104
EVENT: 26501051  RUN: 194428 LS: 24
EVENT: 299102225  RUN: 194429 LS: 314
EVENT: 436678622  RUN: 194429 LS: 469
EVENT: 214016949  RUN: 194644 LS: 202
EVENT: 242106807  RUN: 194699 LS: 203
EVENT: 209861144  RUN: 194050 LS: 222
EVENT: 568369966  RUN: 194789 LS: 455
EVENT: 429670762  RUN: 195303 LS: 342
EVENT: 851203250  RUN: 195304 LS: 711
EVENT: 1143140801  RUN: 195397 LS: 920
EVENT: 203732010  RUN: 195656 LS: 226
EVENT: 923214537  RUN: 195552 LS: 671
EVENT: 1195494947  RUN: 195552 LS: 950
EVENT: 40152930  RUN: 195649 LS: 26
EVENT: 534293849  RUN: 195655 LS: 490
EVENT: 180171960  RUN: 195658 LS: 194
EVENT: 252553611  RUN: 195658 LS: 271
EVENT: 34814148  RUN: 195757 LS: 20
EVENT: 609152998  RUN: 195013 LS: 408
EVENT: 181616727  RUN: 195147 LS: 221
EVENT: 890039914  RUN: 196452 LS: 641
EVENT: 228194471  RUN: 196334 LS: 164
EVENT: 166784291  RUN: 196349 LS: 133
EVENT: 928513862  RUN: 196364 LS: 1008
EVENT: 568900393  RUN: 196197 LS: 375
EVENT: 188060704  RUN: 196452 LS: 168
EVENT: 698755819  RUN: 198271 LS: 601
EVENT: 209703579  RUN: 198230 LS: 186
EVENT: 335649293  RUN: 198272 LS: 370
EVENT: 241859346  RUN: 198230 LS: 217
EVENT: 526255102  RUN: 201191 LS: 341
EVENT: 321239916  RUN: 199608 LS: 270
EVENT: 449952373  RUN: 199608 LS: 373
EVENT: 1197610411  RUN: 198955 LS: 1129
EVENT: 291500958  RUN: 199752 LS: 237
EVENT: 44823052  RUN: 199864 LS: 30
EVENT: 558257913  RUN: 198969 LS: 432
EVENT: 316676322  RUN: 199008 LS: 256
EVENT: 1567706630  RUN: 199021 LS: 1446
EVENT: 247960887  RUN: 200473 LS: 254
EVENT: 519629767  RUN: 200473 LS: 491
EVENT: 32358447  RUN: 200600 LS: 19
EVENT: 214479374  RUN: 201174 LS: 331
EVENT: 526255102  RUN: 201191 LS: 341
EVENT: 528522118  RUN: 201625 LS: 355
EVENT: 52085480  RUN: 201657 LS: 91
EVENT: 40695599  RUN: 201802 LS: 80
EVENT: 602026089  RUN: 201168 LS: 546
EVENT: 61626141  RUN: 201202 LS: 63
EVENT: 431788810  RUN: 202272 LS: 363
EVENT: 793458556  RUN: 202016 LS: 748
EVENT: 657349694  RUN: 202299 LS: 472
EVENT: 177460280  RUN: 202305 LS: 190
EVENT: 57560976  RUN: 202044 LS: 86
EVENT: 763482420  RUN: 202504 LS: 585
EVENT: 67963610  RUN: 202014 LS: 58
EVENT: 106502244  RUN: 202060 LS: 127
EVENT: 267753695  RUN: 202060 LS: 225
EVENT: 39983367  RUN: 202074 LS: 74
EVENT: 391415650  RUN: 203002 LS: 291
EVENT: 661263674  RUN: 203002 LS: 495
EVENT: 348180352  RUN: 204601 LS: 265
EVENT: 689004506  RUN: 204113 LS: 457
EVENT: 723602200  RUN: 205344 LS: 651
EVENT: 196672546  RUN: 205667 LS: 187
EVENT: 198638910  RUN: 205193 LS: 160
EVENT: 386518862  RUN: 205193 LS: 274
EVENT: 1430834540  RUN: 205344 LS: 1485
EVENT: 207294008  RUN: 206243 LS: 152
EVENT: 1283380934  RUN: 206446 LS: 983
EVENT: 622722785  RUN: 206448 LS: 676
EVENT: 716332126  RUN: 206484 LS: 500
EVENT: 278571478  RUN: 206512 LS: 228
EVENT: 152364038  RUN: 206513 LS: 159
EVENT: 230560330  RUN: 206542 LS: 127
EVENT: 493736450  RUN: 206542 LS: 290
EVENT: 1256477715  RUN: 206745 LS: 1270
EVENT: 257869514  RUN: 205781 LS: 155
EVENT: 35388340  RUN: 206208 LS: 32
EVENT: 424305779  RUN: 207279 LS: 288
EVENT: 37851686  RUN: 207372 LS: 23
EVENT: 1207821069  RUN: 207454 LS: 873
EVENT: 1310499646  RUN: 207454 LS: 972
EVENT: 405996855  RUN: 207491 LS: 405
EVENT: 103567939  RUN: 207222 LS: 110
EVENT: 654086493  RUN: 207920 LS: 433
EVENT: 458895461  RUN: 208357 LS: 447
EVENT: 320634086  RUN: 208357 LS: 306
EVENT: 563357056  RUN: 207889 LS: 542
EVENT: 714745117  RUN: 208427 LS: 467
EVENT: 245611071  RUN: 208487 LS: 139
EVENT: 231555464  RUN: 207905 LS: 183
EVENT: 270176048  RUN: 208307 LS: 165
EVENT: 1229195032  RUN: 207905 LS: 935
EVENT: 337432819  RUN: 207920 LS: 233
EVENT: 532751302  RUN: 208307 LS: 353
EVENT: 1184886681  RUN: 208307 LS: 914
