EVENT: 505667141  RUN: 190733  LS: 452
EVENT: 169479303  RUN: 191830  LS: 134
EVENT: 1198639056  RUN: 191226  LS: 898
EVENT: 84342044  RUN: 194224  LS: 50
EVENT: 237258043  RUN: 194224  LS: 147
EVENT: 550918417  RUN: 194424  LS: 380
EVENT: 59521329  RUN: 194464  LS: 39
EVENT: 6936203  RUN: 194643  LS: 6
EVENT: 102077337  RUN: 194702  LS: 97
EVENT: 406181782  RUN: 194711  LS: 474
EVENT: 384284516  RUN: 194151  LS: 406
EVENT: 130876958  RUN: 194199  LS: 175
EVENT: 1040197528  RUN: 195397  LS: 812
EVENT: 1669323385  RUN: 194912  LS: 1208
EVENT: 204002941  RUN: 195013  LS: 162
EVENT: 2792939  RUN: 195015  LS: 3
EVENT: 678587618  RUN: 195147  LS: 545
EVENT: 141749741  RUN: 195163  LS: 129
EVENT: 612210308  RUN: 195552  LS: 404
EVENT: 655734409  RUN: 195552  LS: 438
EVENT: 718732100  RUN: 195948  LS: 471
EVENT: 80011001  RUN: 195950  LS: 74
EVENT: 320378914  RUN: 196334  LS: 215
EVENT: 290248042  RUN: 196531  LS: 217
EVENT: 218421603  RUN: 195950  LS: 210
EVENT: 405808321  RUN: 196334  LS: 265
EVENT: 436515943  RUN: 195915  LS: 258
EVENT: 808757551  RUN: 196452  LS: 578
EVENT: 793590320  RUN: 198487  LS: 701
EVENT: 1016821469  RUN: 201191  LS: 708
EVENT: 345808628  RUN: 199569  LS: 298
EVENT: 1755120556  RUN: 199608  LS: 1741
EVENT: 62400682  RUN: 199698  LS: 82
EVENT: 87229976  RUN: 199739  LS: 111
EVENT: 100827708  RUN: 199862  LS: 107
EVENT: 1348663484  RUN: 198969  LS: 1186
EVENT: 374515358  RUN: 199008  LS: 298
EVENT: 620997670  RUN: 200369  LS: 594
EVENT: 1648394908  RUN: 201278  LS: 1427
EVENT: 1016821469  RUN: 201191  LS: 708
EVENT: 446331930  RUN: 201625  LS: 293
EVENT: 894441305  RUN: 201625  LS: 674
EVENT: 420378698  RUN: 201671  LS: 316
EVENT: 479658978  RUN: 201671  LS: 367
EVENT: 1111103158  RUN: 201707  LS: 942
EVENT: 409919851  RUN: 201278  LS: 295
EVENT: 1255095989  RUN: 202237  LS: 934
EVENT: 208928125  RUN: 202299  LS: 175
EVENT: 1401087011  RUN: 202504  LS: 1199
EVENT: 407034171  RUN: 203002  LS: 302
EVENT: 1083776379  RUN: 203002  LS: 868
EVENT: 192181945  RUN: 204250  LS: 173
EVENT: 765539165  RUN: 204601  LS: 651
EVENT: 979143597  RUN: 203894  LS: 900
EVENT: 589699775  RUN: 204113  LS: 389
EVENT: 1451408390  RUN: 205344  LS: 1514
EVENT: 261853404  RUN: 205683  LS: 207
EVENT: 720252447  RUN: 205694  LS: 780
EVENT: 375520723  RUN: 205718  LS: 224
EVENT: 1105482971  RUN: 205344  LS: 1063
EVENT: 133389082  RUN: 205344  LS: 110
EVENT: 464919376  RUN: 206389  LS: 331
EVENT: 590808461  RUN: 205826  LS: 413
EVENT: 829924053  RUN: 206466  LS: 521
EVENT: 110811082  RUN: 206246  LS: 104
EVENT: 329530127  RUN: 206596  LS: 295
EVENT: 254388822  RUN: 206598  LS: 299
EVENT: 427615006  RUN: 206102  LS: 295
EVENT: 465014123  RUN: 205781  LS: 320
EVENT: 162240719  RUN: 205826  LS: 140
EVENT: 208561585  RUN: 206331  LS: 170
EVENT: 355829800  RUN: 207269  LS: 268
EVENT: 1001372817  RUN: 207279  LS: 736
EVENT: 657683071  RUN: 207214  LS: 418
EVENT: 320813702  RUN: 207477  LS: 214
EVENT: 889888461  RUN: 207214  LS: 595
EVENT: 423942773  RUN: 207231  LS: 282
EVENT: 53641893  RUN: 208341  LS: 42
EVENT: 212175801  RUN: 208391  LS: 141
EVENT: 432437454  RUN: 208391  LS: 303
EVENT: 597010435  RUN: 208487  LS: 375
EVENT: 793850136  RUN: 208551  LS: 501
EVENT: 82734314  RUN: 207905  LS: 103
EVENT: 603540241  RUN: 207905  LS: 413
EVENT: 323887344  RUN: 207920  LS: 225
EVENT: 1495332086  RUN: 208307  LS: 1226
EVENT: 85019695  RUN: 208339  LS: 101
